State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Uttarakhand,5,6,2022,3,4,0,9,Umesh Khanduri,M,UKKD,464,49,,59010,97893,KARNPRAYAG,GEN,CHAMOLI,GARHWAL,11,60.28,0.79,yes,224,0.38,2.63,AEUK2024681,Local Party,13023,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Liberal Profession or Professional,Journalist or Editor,Small Business or Self-employed,,State Assembly Election (AE)
Uttarakhand,5,6,2022,3,4,0,10,Ranjna Rawat,F,Nyaydharmsabha,240,35,,59010,97893,KARNPRAYAG,GEN,CHAMOLI,GARHWAL,11,60.28,0.41,yes,67,0.11,2.63,AEUK2024678,Local Party,25031,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Small Business or Self-employed,,,,State Assembly Election (AE)
Uttarakhand,5,6,2022,3,4,0,11,Sureshi Devi,F,Peoples Party of India (Democratic),173,46,,59010,97893,KARNPRAYAG,GEN,CHAMOLI,GARHWAL,11,60.28,0.29,yes,102,0.17,2.63,AEUK2024677,Local Party,6054,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Other,,,,State Assembly Election (AE)
Uttarakhand,5,6,2022,3,4,0,12,Dr Mukesh  Pant,M,Uttarakhand Janekta Party,71,55,,59010,97893,KARNPRAYAG,GEN,CHAMOLI,GARHWAL,11,60.28,0.12,yes,0,0,2.63,AEUK2024679,Local Party,25030,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Doctorate,Liberal Profession or Professional,"Journalist or Editor, Author",,,State Assembly Election (AE)
Uttarakhand,5,7,2022,3,4,0,1,SHAILA RANI RAWAT,F,BJP,21886,65,,60723,93376,KEDARNATH,GEN,RUDRAPRAYAG,GARHWAL,13,65.03,36.04,no,8463,13.94,4.35,AEUK100203,National Party,1605,TRUE,4,BJP,1605,KEDARNATH,TRUE,TRUE,2,FALSE,FALSE,TRUE,Post Graduate,Retired or Pension,,,,State Assembly Election (AE)
Uttarakhand,5,7,2022,3,4,0,2,KULDEEP SINGH RAWAT,M,IND,13423,47,,60723,93376,KEDARNATH,GEN,RUDRAPRAYAG,GARHWAL,13,65.03,22.11,no,866,1.43,4.35,AEUK100201,Independents,10809,TRUE,2,IND,10809,KEDARNATH,TRUE,TRUE,0,FALSE,FALSE,TRUE,8th Pass,Business,,,,State Assembly Election (AE)
Uttarakhand,5,7,2022,3,4,0,3,MANOJ RAWAT,M,INC,12557,54,,60723,93376,KEDARNATH,GEN,RUDRAPRAYAG,GARHWAL,13,65.03,20.68,no,7910,13.03,4.35,AEUK100200,National Party,3482,TRUE,2,INC,3482,KEDARNATH,TRUE,TRUE,1,FALSE,TRUE,TRUE,Post Graduate,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,7,2022,3,4,0,4,SUMANT,M,AAAP,4647,41,,60723,93376,KEDARNATH,GEN,RUDRAPRAYAG,GARHWAL,13,65.03,7.65,yes,1579,2.6,4.35,AEUK2024690,State-based Party,13,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Business,,,,State Assembly Election (AE)
Uttarakhand,5,7,2022,3,4,0,5,DEVESH NAUTIYAL,M,IND,3068,47,,60723,93376,KEDARNATH,GEN,RUDRAPRAYAG,GARHWAL,13,65.03,5.05,yes,2273,3.74,4.35,AEUK2024687,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,7,2022,3,4,0,6,KULDEEP SINGH,M,IND,795,36,,60723,93376,KEDARNATH,GEN,RUDRAPRAYAG,GARHWAL,13,65.03,1.31,yes,44,0.07,4.35,AEUK2024689,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,7,2022,3,4,0,7,None Of The Above,,NOTA,751,,,60723,93376,KEDARNATH,GEN,RUDRAPRAYAG,GARHWAL,13,65.03,1.24,,5,0.01,4.35,,,,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Uttarakhand,5,7,2022,3,4,0,8,GAJPAL SINGH RAWAT,M,UKKD,746,62,,60723,93376,KEDARNATH,GEN,RUDRAPRAYAG,GARHWAL,13,65.03,1.23,yes,49,0.08,4.35,AEUK2024693,Local Party,13023,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Liberal Profession or Professional,Lawyer,,,State Assembly Election (AE)
Uttarakhand,5,7,2022,3,4,0,9,REKHA DEVI,F,IND,697,42,,60723,93376,KEDARNATH,GEN,RUDRAPRAYAG,GARHWAL,13,65.03,1.15,yes,8,0.01,4.35,AEUK2024686,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Other,,,,State Assembly Election (AE)
Uttarakhand,5,7,2022,3,4,0,10,RAJARAM,M,CPM,689,59,,60723,93376,KEDARNATH,GEN,RUDRAPRAYAG,GARHWAL,13,65.03,1.13,yes,105,0.17,4.35,AEUK2024696,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Other,,,,State Assembly Election (AE)
Uttarakhand,5,7,2022,3,4,0,11,SHYAM LAL CHANDRAVAL,M,BSP,584,60,,60723,93376,KEDARNATH,GEN,RUDRAPRAYAG,GARHWAL,13,65.03,0.96,yes,224,0.37,4.35,AEUK2024694,State-based Party,16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Retired or Pension,,,,State Assembly Election (AE)
