State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Madras,4,47,1967,2,2,0,2,R. DHARMALINGAM,M,DMK,28185,,,58680,82797,THANDRAMBATTU,GEN,,,3,70.87,48.03,no,27214,46.38,2.08,AEMD84477,State-based Party,10192,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,47,1967,2,2,0,3,C. G. NAIDU,M,IND,971,,,58680,82797,THANDRAMBATTU,GEN,,,3,70.87,1.65,yes,0,0,2.08,AEMD84478,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,48,1967,2,2,0,1,S. MURUGIAN,M,INC,32697,,,63644,92766,KALASAPAKKAM,GEN,,,3,68.61,51.37,no,12143,19.08,2.56,AEMD84479,National Party,3482,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,48,1967,2,2,0,2,M. SUNDARASAN,M,DMK,20554,,,63644,92766,KALASAPAKKAM,GEN,,,3,68.61,32.3,no,10161,15.97,2.56,AEMD84480,State-based Party,10192,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,48,1967,2,2,0,3,K. R. K. GOUNDER,M,IND,10393,,,63644,92766,KALASAPAKKAM,GEN,,,3,68.61,16.33,yes,0,0,2.56,AEMD84481,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,49,1967,2,2,0,1,D. VIJAYARAJ,M,INC,38153,,,77255,94545,TIRUVANNAMALAI,GEN,,,3,81.71,49.39,no,3185,4.12,2.27,AEMD84482,National Party,3482,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,49,1967,2,2,0,2,P. U. SHANMUGAM,M,DMK,34968,,,77255,94545,TIRUVANNAMALAI,GEN,,,3,81.71,45.26,no,30834,39.91,2.27,AETN208263,State-based Party,10192,TRUE,2,DMK,,TIRUVANNAMALAI,TRUE,TRUE,0,FALSE,FALSE,TRUE,,,,,,State Assembly Election (AE)
Madras,4,49,1967,2,2,0,3,M. ARUMUGAM,M,IND,4134,,,77255,94545,TIRUVANNAMALAI,GEN,,,3,81.71,5.35,yes,0,0,2.27,AEMD84484,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,50,1967,2,2,0,1,R. R. MUNUSAMY,M,DMK,33115,,,65337,92089,MELMALAYANUR,GEN,,,5,70.95,50.68,no,15820,24.21,2.78,AETN212003,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,50,1967,2,2,0,2,K. G. GOUNDER,M,INC,17295,,,65337,92089,MELMALAYANUR,GEN,,,5,70.95,26.47,no,5539,8.48,2.78,AEMD84486,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
